Handle	Title	Body (HTML)	Vendor		Type	Tags	Published	Option1 Name	Option1 Value	Option2 Name	Option2 Value	Option3 Name	Option3 Value	Variant SKU	Variant Grams	Variant Inventory Tracker	Variant Inventory Qty	Variant Inventory Policy	Variant Fulfillment Service	Variant Price	Variant Compare At Price	Variant Requires Shipping	Variant Taxable	Variant Barcode	Image Src	Image Position	Image Alt Text	Gift Card	Variant Image	Variant Weight Unit	Variant Tax Code	Cost per item
boldmove-imported-short-sleeve-tee								Size	S	Color	DarkGray				0			deny	manual	99	2399		TRUE		https://cdn.shopify.com/s/files/1/0712/7485/6588/files/photo_2025-03-05_14-10-47.jpg?v=1749572730	3			https://cdn.shopify.com/s/files/1/0712/7485/6588/files/photo_2025-03-05_14-10-47.jpg?v=1749572730			
boldmove-imported-short-sleeve-tee								Size	S	Color	Black				0			deny	manual	99	2399		TRUE		https://cdn.shopify.com/s/files/1/0712/7485/6588/files/photo_2025-03-05_14-17-10.jpg?v=1749572730	4			https://cdn.shopify.com/s/files/1/0712/7485/6588/files/photo_2025-03-05_14-10-49_2.jpg?v=1749572730			
boldmove-imported-short-sleeve-tee								Size	S	Color	Blue				0			deny	manual	99	2399		TRUE		https://cdn.shopify.com/s/files/1/0712/7485/6588/files/photo_2025-03-05_14-10-49.jpg?v=1749572730	5			https://cdn.shopify.com/s/files/1/0712/7485/6588/files/photo_2025-03-05_14-10-49.jpg?v=1749572730			
boldmove-imported-short-sleeve-tee								Size	M	Color	LightGray				0			deny	manual	99	2399		TRUE		https://cdn.shopify.com/s/files/1/0712/7485/6588/files/photo_2025-03-05_14-17-11.jpg?v=1749572730	6			https://cdn.shopify.com/s/files/1/0712/7485/6588/files/photo_2025-03-05_14-10-48.jpg?v=1749572730			
boldmove-imported-short-sleeve-tee								Size	M	Color	Orange				0			deny	manual	99	2399		TRUE		https://cdn.shopify.com/s/files/1/0712/7485/6588/files/photo_2025-03-05_14-10-46.jpg?v=1749572730	7			https://cdn.shopify.com/s/files/1/0712/7485/6588/files/photo_2025-03-05_14-10-46.jpg?v=1749572730			
boldmove-imported-short-sleeve-tee								Size	M	Color	DarkGray				0			deny	manual	99	2399		TRUE		https://cdn.shopify.com/s/files/1/0712/7485/6588/files/photo_2025-03-05_14-17-11_2.jpg?v=1749572730	8			https://cdn.shopify.com/s/files/1/0712/7485/6588/files/photo_2025-03-05_14-10-47.jpg?v=1749572730			
boldmove-imported-short-sleeve-tee								Size	M	Color	Black				0			deny	manual	99	2399		TRUE		https://cdn.shopify.com/s/files/1/0712/7485/6588/files/photo_2025-03-05_14-10-49_2.jpg?v=1749572730	9			https://cdn.shopify.com/s/files/1/0712/7485/6588/files/photo_2025-03-05_14-10-49_2.jpg?v=1749572730			
boldmove-imported-short-sleeve-tee								Size	M	Color	Blue				0			deny	manual	99	2399		TRUE						https://cdn.shopify.com/s/files/1/0712/7485/6588/files/photo_2025-03-05_14-10-49.jpg?v=1749572730			
boldmove-imported-short-sleeve-tee								Size	L	Color	LightGray				0			deny	manual	99	2399		TRUE						https://cdn.shopify.com/s/files/1/0712/7485/6588/files/photo_2025-03-05_14-10-48.jpg?v=1749572730			
boldmove-imported-short-sleeve-tee								Size	L	Color	Orange				0			deny	manual	99	2399		TRUE						https://cdn.shopify.com/s/files/1/0712/7485/6588/files/photo_2025-03-05_14-10-46.jpg?v=1749572730			
boldmove-imported-short-sleeve-tee								Size	L	Color	DarkGray				0			deny	manual	99	2399		TRUE						https://cdn.shopify.com/s/files/1/0712/7485/6588/files/photo_2025-03-05_14-10-47.jpg?v=1749572730			
boldmove-imported-short-sleeve-tee								Size	L	Color	Black				0			deny	manual	99	2399		TRUE						https://cdn.shopify.com/s/files/1/0712/7485/6588/files/photo_2025-03-05_14-10-49_2.jpg?v=1749572730			
boldmove-imported-short-sleeve-tee								Size	L	Color	Blue				0			deny	manual	99	2399		TRUE						https://cdn.shopify.com/s/files/1/0712/7485/6588/files/photo_2025-03-05_14-10-49.jpg?v=1749572730			
boldmove-imported-short-sleeve-tee								Size	XL	Color	LightGray				0			deny	manual	99	2399		TRUE						https://cdn.shopify.com/s/files/1/0712/7485/6588/files/photo_2025-03-05_14-10-48.jpg?v=1749572730			
boldmove-imported-short-sleeve-tee								Size	XL	Color	Orange				0			deny	manual	99	2399		TRUE						https://cdn.shopify.com/s/files/1/0712/7485/6588/files/photo_2025-03-05_14-10-46.jpg?v=1749572730			
boldmove-imported-short-sleeve-tee								Size	XL	Color	DarkGray				0			deny	manual	99	2399		TRUE						https://cdn.shopify.com/s/files/1/0712/7485/6588/files/photo_2025-03-05_14-10-47.jpg?v=1749572730			
boldmove-imported-short-sleeve-tee								Size	XL	Color	Black				0			deny	manual	99	2399		TRUE						https://cdn.shopify.com/s/files/1/0712/7485/6588/files/photo_2025-03-05_14-10-49_2.jpg?v=1749572730			
boldmove-imported-short-sleeve-tee								Size	XL	Color	Blue				0			deny	manual	99	2399		TRUE						https://cdn.shopify.com/s/files/1/0712/7485/6588/files/photo_2025-03-05_14-10-49.jpg?v=1749572730			
boldmove-imported-short-sleeve-tee								Size	XXL	Color	LightGray				0			deny	manual	99	2399		TRUE						https://cdn.shopify.com/s/files/1/0712/7485/6588/files/photo_2025-03-05_14-10-48.jpg?v=1749572730			
boldmove-imported-short-sleeve-tee								Size	XXL	Color	Orange				0			deny	manual	99	2399		TRUE						https://cdn.shopify.com/s/files/1/0712/7485/6588/files/photo_2025-03-05_14-10-46.jpg?v=1749572730			
boldmove-imported-short-sleeve-tee								Size	XXL	Color	DarkGray				0			deny	manual	99	2399		TRUE						https://cdn.shopify.com/s/files/1/0712/7485/6588/files/photo_2025-03-05_14-10-47.jpg?v=1749572730			
boldmove-imported-short-sleeve-tee								Size	XXL	Color	Black				0			deny	manual	99	2399		TRUE						https://cdn.shopify.com/s/files/1/0712/7485/6588/files/photo_2025-03-05_14-10-49_2.jpg?v=1749572730			
boldmove-imported-short-sleeve-tee								Size	XXL	Color	Blue				0			deny	manual	99	2399		TRUE						https://cdn.shopify.com/s/files/1/0712/7485/6588/files/photo_2025-03-05_14-10-49.jpg?v=1749572730			
boldmove-imported-short-sleeve-tee								Size	3XL	Color	LightGray				0			deny	manual	99	2399		TRUE						https://cdn.shopify.com/s/files/1/0712/7485/6588/files/photo_2025-03-05_14-10-48.jpg?v=1749572730			
boldmove-imported-short-sleeve-tee								Size	3XL	Color	Orange				0			deny	manual	99	2399		TRUE						https://cdn.shopify.com/s/files/1/0712/7485/6588/files/photo_2025-03-05_14-10-46.jpg?v=1749572730			
boldmove-imported-short-sleeve-tee								Size	3XL	Color	DarkGray				0			deny	manual	99	2399		TRUE						https://cdn.shopify.com/s/files/1/0712/7485/6588/files/photo_2025-03-05_14-10-47.jpg?v=1749572730			
